;Tool  Pocket Z Offset     Diameter     Remark
T1     P0     Z+46.747400  D+2.000000   ; probe
T2     P0     Z+45.652000  D+12.000000  ; 12mm 3F dLC
T4     P0     Z+45.654000  D+12.000000  ; 12mm countersink
T5     P0     Z+45.651100  D+6.000000   ; 8mm 3F DLC
T28    P0     Z+28.438300  D+4.000000   ; DRILL 4mm
T22001 P0     Z+21.819470  D+20.000000  ; 20mm 2F wood face
T30301 P0     Z+15.995000  D+3.000000   ; 3MM 3f dlc
T30601 P0     Z+61.582965  D+6.000000   ; 6mm 3F DLC
T31201 P0     Z+45.634700  D+12.000000  ; 12mm 3F DLC
T6     P0     Z+0.000000   D+2.000000   ; 2mm drill
